created_at,id_str,full_text_in_Indonesian,full_text_in_English
2018-01-01 21:08:23+00:00,947937572961112065,https://t.co/18q5w1w4Qa :  Angka Kecelakaan Selama Operasi Lilin 2017 Diklaim Menurun: Jakarta: Terjadi… https://t.co/5SXwrfiDxj,https://t.co/18q5w1w4Qa: Number of Accidents During 2017 Candle Operations Claimed to Decrease: Jakarta: Happened... https://t.co/5SXwrfiDxj
2018-01-01 21:30:42+00:00,947943187011723264,"Kecelakaan kerja bukanlah kebetulan, dia merupakan sebuah akibat. #TerapiYumeiho","Work accidents are not accidents, they are consequences. #Yumeihotherapy"
2018-01-01 21:51:38+00:00,947948454688333824,Bos Raksasa Katering Inggris Tewas dalam Kecelakaan Pesawat https://t.co/adMzirqD1h https://t.co/ZTmCLZm3S2,Boss of British Catering Giant Killed in Plane Crash https://t.co/adMzirqD1h https://t.co/ZTmCLZm3S2
2018-01-01 22:00:54+00:00,947950787551944704,"29. Selamat dari bahaya kecelakaan,ancaman pembunuhan, serta bentuk2 kejahatan yang tiba2 menghadang?https://t.co/em19bJEAXF","29. Safe from the dangers of accidents, threats of murder, and other forms of crime that suddenly come your way? https://t.co/em19bJEAXF"
2018-01-01 22:28:01+00:00,947957609776103424,05.27: Imbas kecelakaan di jembatan Ciherang sebelum pom bensin..kontener menutupi hampir sebagian Badan jalan https://t.co/alnuH14FHJ,05.27: The impact of the accident on the Ciherang bridge before the gas station..the container covers almost part of the road https://t.co/alnuH14FHJ
2018-01-01 22:28:10+00:00,947957649194266624,"Remaja Ini Sempat Dikira Korban Kecelakaan, Foto Selanjutnya Bikin Netter Kesal: https://t.co/11IYNPVI3U via @YouTube","This teenager was thought to be an accident victim, the next photo makes netizens upset: https://t.co/11IYNPVI3U via @YouTube"
2018-01-01 22:42:09+00:00,947961166646489088,LUCU Kecelakaan Yang Paling Ajaib Sepanjang Masa  https://t.co/uVGgOjrNgX,FUNNY The Most Miraculous Accidents of All Time https://t.co/uVGgOjrNgX
2018-01-01 22:45:19+00:00,947961967406301184,05:42 Kecelakaan Daihatsu Xenia B 1877 VMF &amp  Pick Up E 8968 VL di Exit Tol Semanggi Jl. Gatot Subroto &amp  msh penanganan Polri. https://t.co/KCwwmE3DMC,05:42 Accident of Daihatsu Gatot Subroto & still handling the Police. https://t.co/KCwwmE3DMC
2018-01-01 22:45:52+00:00,947962102832013312,"Rasa takut akan kematian adalah yang paling dibenarkan dari semua ketakutan, karena tidak ada risiko kecelakaan bagi seseorang yang sudah mati.","The fear of death is the most justified of all fears, because there is no risk of accident to someone who is already dead."
2018-01-01 22:50:01+00:00,947963147725320193,[77:34] Kecelakaan yang besarlah pada hari itu bagi orang-orang yang mendustakan.,[77:34] That day will be a great disaster for those who lie.
2018-01-01 22:50:23+00:00,947963238452420608,05.50: RT @TMCPoldaMetro : Kecelakaan Daihatsu Xenia B 1877 VMF &amp  Pick Up E 8968 VL di Exit Tol Semanggi Jl. Gatot Subroto &amp  msh penanganan Polri. #ElshintaNewYear https://t.co/CWLMFzBQQp,05.50: RT @TMCPoldaMetro : Daihatsu Xenia B 1877 VMF &amp Pick Up E 8968 VL accident at the Semanggi Toll Exit Jl. Gatot Subroto & still handling the Police. #ElshintaNewYear https://t.co/CWLMFzBQQp
2018-01-01 22:52:05+00:00,947963669446500352,"06:51 JL Pasar Ikan - Patimura terlihat lancar. Ingatt... Kecelakaan timbul bkn hanya krn kondisi jln, tp jg krn kelalaian. #CCTVDiskominfoMks *yn https://t.co/P5NfIHf6hF","06:51 JL Pasar Ikan - Patimura looks smooth. Remember... Accidents arise not only because of road conditions, but also because of negligence. #CCTVDiskominfoMks *yn https://t.co/P5NfIHf6hF"
