created_at,id_str,full_text_in_Indonesian,full_text_in_English
2018-01-01 02:03:05+00:00,947649345284857857,antara taktis dan strategis ...antara sporadis dan holistik ...tetapi  sungguh yang kita butuhkan dari Pemimpin adalah Strategi dan Tindakan Efektif Mengendalikan Banjir. Air tak punya pikiran layaknya manusia  seharusnya manusia mengendalikan air https://t.co/D7ZkS3a2p5,"between tactical and strategic...between sporadic and holistic...but really what we need from Leaders is Strategy and Effective Action to Control Floods. Water doesn't have thoughts like humans, humans should control water https://t.co/D7ZkS3a2p5"
2018-01-01 03:46:56+00:00,947675481960202241,Kata Johor berkemajuan. Takkan banjir kot?,The word Johor is progressing. Won't it flood?
2018-01-01 03:58:27+00:00,947678381558173697,banjir!! #kuantan https://t.co/B12Q9qNTEE,flood!! #kuantan https://t.co/B12Q9qNTEE
2018-01-01 04:01:44+00:00,947679206288195584,Semoga mangsa-mangsa banjir tabah di atas ujian yang menimpa https://t.co/suTv3uw64g,Hopefully the victims of the flood will endure the trials that befall them https://t.co/suTv3uw64g
2018-01-01 04:03:20+00:00,947679607163113472,Kuantan ni macam ada gaya nak banjir je.,Kuantan looks like it's going to flood.
2018-01-01 04:15:05+00:00,947682565606973441,13. Janji akan mencari solusi banjir Jakarta dan kemacetan Jakarta ketika jadi Presiden. Bahkan statemen di 2014 akan menggunakan cara lain. Namun faktanya kini  banyak barisan pendukung yang menyalahkan anies sandi dengan fakta jakarta masih banjir dan macet. Ingat janji ini https://t.co/VLGaXaVntY,"13. Promise to find solutions to Jakarta floods and Jakarta traffic jams when he becomes President. Even the 2014 statement will use another method. However, the fact is that now many supporters are blaming Anies Sandi for the fact that Jakarta is still flooded and congested. Remember this promise https://t.co/VLGaXaVntY"
2018-01-01 08:55:56+00:00,947753242540126209,Banjir: Jalan utama Jemaluang-Mersing dinaiki air https://t.co/xTmO0hnDqb #sinartv https://t.co/DWxpBZgKiC,Flood: Jemaluang-Mersing main road is flooded https://t.co/xTmO0hnDqb #sinartv https://t.co/DWxpBZgKiC
2018-01-01 09:53:23+00:00,947767702130638848,Allahu hujan tak berhenti dari tahun lepas. Mohon dijauhkan banjir di Pahang. 🙏🏻🙏🏻🙏🏻,God the rain hasn't stopped since last year. Please keep flooding away in Pahang. 🙏🏻🙏🏻🙏🏻
2018-01-01 10:12:41+00:00,947772557729476608,Air sungai dekat rumah hampir melimpah aku tengok.nsnti banjir lagi adudududududud penat.,The river water near my house is almost overflowing. I look. It's going to flood again. I'm so tired.
2018-01-01 11:28:29+00:00,947791635542183937,first day of 2018 👉 Mersing banjir,first day of 2018 👉 Mersing flooded
2018-01-01 11:46:49+00:00,947796249888960512,Banjir: 188 mangsa dipindahkan https://t.co/m0jdJkBuKK #UtusanMalaysia #UtusanOnline,Flood: 188 victims relocated https://t.co/m0jdJkBuKK #UtusanMalaysia #UtusanOnline
2018-01-01 12:01:43+00:00,947799998653128705,Mersing  Kota Tinggi  Segamat dilanda banjir  https://t.co/Cp4hzZ4Sws https://t.co/XBO8gvfQ1O,"Mersing, Tinggi Segamat City, hit by floods https://t.co/Cp4hzZ4Sws https://t.co/XBO8gvfQ1O"
2018-01-01 13:37:17+00:00,947824050121744384,Mersing  Kota Tinggi  Segamat dilanda banjir https://t.co/hnlL0kiTHA,"Mersing, the city of Tinggi Segamat, was hit by floods https://t.co/hnlL0kiTHA"
2018-01-01 13:43:11+00:00,947825534418894848,NADMA News  1 Januari 2018 : Situasi banjir di Mersing  Johor https://t.co/t0OWTfp3Gu,NADMA News 1 January 2018 : Flood situation in Mersing Johor https://t.co/t0OWTfp3Gu
2018-01-01 13:50:02+00:00,947827258227441664,Titipkan doa untuk saudara kita di Kuantan  Mersing dan sewaktu dengannya yang sedang diuji dengan bah banjir.  Moga semuanya selamat.,Please pray for our brothers in Kuantan Mersing and with them who are being tested by the flood. Hope everyone is safe.
2018-01-01 14:31:47+00:00,947837764095025153,@JKRMersing bersiap siaga menghadapi banjir. @MohdSallehAB @JKRMalaysia @RoslanMdTaha @PetraJayaMP @MOWorks https://t.co/HyGilIcZGf,@JKRMersing prepares for flooding. @MohdSallehAB @JKRMalaysia @RoslanMdTaha @PetraJayaMP @MOWorks https://t.co/HyGilIcZGf
2018-01-01 14:51:15+00:00,947842663532838912,Hepppp... Mersing selalu banjir lah.. Sama macam Segamat..   😉😉😉 https://t.co/r6asfcOoxI,Hepppp... Mersing always floods... Just like Segamat... 😉😉😉 https://t.co/r6asfcOoxI
2018-01-01 15:02:11+00:00,947845414543269888,Terkini: Mangsa banjir di Mersing bertambah  https://t.co/aAgG5gGdln https://t.co/FwVC37xMtU,Latest: Flood victims in Mersing increase https://t.co/aAgG5gGdln https://t.co/FwVC37xMtU
2018-01-01 15:11:42+00:00,947847809482473472,Banjir memaksa 3 sekolah kebangsaan di Terengganu ditutup esok https://t.co/h7lN7rz23X https://t.co/Dxtphy9DVv,Floods force 3 national schools in Terengganu to close tomorrow https://t.co/h7lN7rz23X https://t.co/Dxtphy9DVv
2018-01-01 16:27:01+00:00,947866764460802049,JANGANLA BANJIR JANGANLA BANJIR JANGANLA BANJIRRRRRRRRRRRR 😭,DON'T FLOOD DON'T FLOOD DON'T FLOOD DON'T FLOOD 😭
2018-01-02 02:22:51+00:00,948016708052180992,Malaysia BODOH LAND-malaysia BODOH Immigration dept FAILURE FAIL 2 catch human traffickers of women men&amp;children.We need ROBOTS 2 replace all Malaysians Immigration CEOs &amp;enforcement officers!#ManchesterUnited #resolutions2018 #Pyeongchang #Ghana #Zimbabwe #banjir #PetalingJaya https://t.co/vm8Yh4zNPx,Malaysia BODOH LAND-malaysia BODOH Immigration dept FAILURE FAIL 2 catch human traffickers of women men&amp;children.We need ROBOTS 2 replace all Malaysians Immigration CEOs &amp;enforcement officers!#ManchesterUnited #resolutions2018 #Pyeongchang #Ghana #Zimbabwe #banjir #PetalingJaya https: //t.co/vm8Yh4zNPx
2018-01-02 02:44:19+00:00,948022111100010497,TIGA BUAH SEKOLAH DITUTUP AKIBAT BANJIR DI SARAWAK #sodiakroks https://t.co/bbojRyWLow,THREE SCHOOLS CLOSED DUE TO FLOODING IN SARAWAK #sodiakroks https://t.co/bbojRyWLow
2018-01-02 03:24:14+00:00,948032156508422144,@MohdFirdausham Hahaha first day of working office aku banjir ye hahahhahahaahha,@MohdFirdausham Hahaha my first day of working at the office was flooded hahahahahaahha
2018-01-02 04:24:48+00:00,948047400697937920,Ingin tenangkan diri di musim banjir? -memancing -sukat air -bakar ikan  -berehat di atas rumah rakit khas musim cuti RM20 seorang (termasukhomestay) p/s ikan dibekalkan Minimum 8 orang,Want to calm yourself during the flood season? -fishing -water fishing -grilling fish -resting on a raft house typical holiday season RM20 per person (includes homestay) p/s fish provided Minimum 8 people
2018-01-02 04:40:03+00:00,948051236850319360,Banjir Di Tongod Beransur Pulih #SayangSabah  Ikut kami di Twitter @SayangiSabah https://t.co/MPFIfJgivJ,Floods in Tongod gradually recover # SayangSabah Follow us on Twitter @ SayangSabah https://t.co/MPFIfJgivJ
2018-01-02 07:43:45+00:00,948097464543854592,Hujan and banjir dah start. Tepi rumah pun air dah naik mak cakap. Allah  give Your protection to my family Ya Allah😞,"The rain and flooding have started. Even at the edge of the house, the water has risen, Mom said. Allah give Your protection to my family Oh Allah😞"
2018-01-02 08:33:06+00:00,948109886885261313,Suzy Menang Lawan Lee Young Ae  SBS Drama Awards Banjir Cibiran Netter https://t.co/ggZavDHDN1 #tv #SBSDramaAwards2017 #Suzy #LeeYoungAe https://t.co/u47VGzXg7v,Suzy Wins Against Lee Young Ae SBS Drama Awards Flood of Netter's Scorn https://t.co/ggZavDHDN1 #tv #SBSDramaAwards2017 #Suzy #LeeYoungAe https://t.co/u47VGzXg7v
2018-01-02 08:37:47+00:00,948111062787801088,Paras air di Pantai Timur  Johor &amp; Sabah semakin naik. Anggota2 @MarkasATM telah diaturgerak bagi membantu operasi banjir di sana termasuk memindahkan penduduk yang terjejas banjir. Marilah kita doakan semoga banjir di negeri2 ini segera pulih. InsyaAllah - DS @HishammuddinH2O https://t.co/9ir4ddi7ly,"Water level on the East Coast of Johor &amp; Sabah is getting better. @MarkasATM members have been mobilized to assist with flood operations there, including moving residents affected by the flood. Let us pray that the floods in these countries will recover quickly. God willing - DS @HishammuddinH2O https://t.co/9ir4ddi7ly"
2018-01-02 09:00:48+00:00,948116858791632897,RT @jkrmaran : Pemakluman laporan bencana banjir bagi jalan-jalan negeri Daerah Maran @JKRPAHANG @JKRMalaysia @MOWorks @RakanKKR https://t.co/RBgh43bN5Z,RT @jkrmaran : Announcement of flood disaster reports for state roads in Maran Region @JKRPAHANG @JKRMalaysia @MOWorks @RakanKKR https://t.co/RBgh43bN5Z
2018-01-02 09:30:16+00:00,948124273683632128,Intensitas dan curah hujan yang tinggi telah menyebabkan banjir di berbagai daerah di tanah air.  Kala banjir melanda  tetap tenang dan tingkatkan kewaspadaan. Berikut beberapa poin yang dapat dilakukan guna mengurangi risiko banjir  #BersatuHadapiBencana #LetsACTIndonesia https://t.co/2hRj3HQfQ8,"The intensity and high rainfall has caused flooding in various areas in the country. When a flood strikes, stay calm and increase your vigilance. Here are several points that can be done to reduce the risk of flooding #BersatuHadapiBencana #LetsACTIndonesia https://t.co/2hRj3HQfQ8"
2018-01-02 11:16:28+00:00,948150996970102791,#meowtime #HuluTerengganu Kucing terperangkap berikutan banjir melanda Kampung Pengakalan Ajal. FOTO Mohd Syafiq Ridzuan Ambak https://t.co/1kJtouYTJx,#meowtime #HuluTerengganu Cats were trapped following floods that hit Pengakalan Ajal Village. PHOTO Mohd Syafiq Ridzuan Ambak https://t.co/1kJtouYTJx
2018-01-02 11:35:05+00:00,948155683467182080,Jika paras Sungai Tembeling di Kuala Tahan terus menaik melebihi paras bahaya dan paras Sungai Yap terus menaik  daerah Temerloh berisiko banjir. Harap orang Koi dengar &amp; ikut arahan pihak berkuasa jika diminta berpindah. #PrayForTemerloh,"If the level of the Tembeling River in Kuala Tahan continues to rise above danger level and the level of the Yap River continues to rise, the Temerloh area is at risk of flooding. Hope Koi people listen &amp; follow the directions of the authorities if asked to move. #PrayForTemerloh"
