text_id,id,token_in_Indonesian,token_in_English,entity,argument
BAN-00001,BAN-00001.001,13,13,O,O
BAN-00001,BAN-00001.002,janji,promise,O,O
BAN-00001,BAN-00001.003,akan,will,O,O
BAN-00001,BAN-00001.004,mencari,look for,O,O
BAN-00001,BAN-00001.005,solusi,solution,O,O
BAN-00001,BAN-00001.006,banjir,flood,B-EVE,FALSE-EVENT
BAN-00001,BAN-00001.007,jakarta,Jakarta,B-LOC,PLACE-ARG
BAN-00001,BAN-00001.008,dan,And,O,O
BAN-00001,BAN-00001.009,kemacetan,congestion,O,O
BAN-00001,BAN-00001.010,jakarta,Jakarta,B-LOC,PLACE-ARG
BAN-00001,BAN-00001.011,ketika,when,O,O
BAN-00001,BAN-00001.012,jadi,So,O,O
BAN-00001,BAN-00001.013,presiden,president,B-ORG,OFFICER-ARG
BAN-00001,BAN-00001.014,bahkan,even,O,O
BAN-00001,BAN-00001.015,statemen,statement,O,O
BAN-00001,BAN-00001.016,di,in,O,O
BAN-00001,BAN-00001.017,2014,2014,B-ARG,TIME-ARG
BAN-00001,BAN-00001.018,akan,will,O,O
BAN-00001,BAN-00001.019,menggunakan,use,O,O
BAN-00001,BAN-00001.020,cara,method,O,O
BAN-00001,BAN-00001.021,lain,other,O,O
BAN-00001,BAN-00001.022,namun,However,O,O
BAN-00001,BAN-00001.023,faktanya,in fact,O,O
BAN-00001,BAN-00001.024,kini,now,O,O
BAN-00001,BAN-00001.025,banyak,Lots,O,O
BAN-00001,BAN-00001.026,barisan,line,O,O
BAN-00001,BAN-00001.027,pendukung,supporter,O,O
BAN-00001,BAN-00001.028,yang,Which,O,O
BAN-00001,BAN-00001.029,menyalahkan,blame,O,O
BAN-00001,BAN-00001.030,anies,anies,O,O
BAN-00001,BAN-00001.031,sandi,password,O,O
BAN-00001,BAN-00001.032,dengan,with,O,O
BAN-00001,BAN-00001.033,fakta,fact,O,O
BAN-00001,BAN-00001.034,jakarta,Jakarta,B-LOC,PLACE-ARG
BAN-00001,BAN-00001.035,masih,Still,O,O
BAN-00001,BAN-00001.036,banjir,flood,B-EVE,FALSE-EVENT
BAN-00001,BAN-00001.037,dan,And,O,O
BAN-00001,BAN-00001.038,macet,congested,O,O
BAN-00001,BAN-00001.039,ingat,remember,O,O
BAN-00001,BAN-00001.040,janji,promise,O,O
BAN-00001,BAN-00001.041,ini,This,O,O
BAN-00002,BAN-00002.001,ingin,want to,O,O
BAN-00002,BAN-00002.002,tenangkan,calm down,O,O
BAN-00002,BAN-00002.003,diri,self,O,O
BAN-00002,BAN-00002.004,di,in,O,O
BAN-00002,BAN-00002.005,musim,season,O,O
BAN-00002,BAN-00002.006,banjir,flood,B-EVE,FALSE-EVENT
BAN-00002,BAN-00002.007,?,?,O,O
BAN-00002,BAN-00002.008,-memancing,-fishing,O,O
BAN-00002,BAN-00002.009,-sukat,-like it,O,O
BAN-00002,BAN-00002.010,air,water,O,O
BAN-00002,BAN-00002.011,-bakar,-burn,O,O
BAN-00002,BAN-00002.012,ikan,fish,O,O
BAN-00002,BAN-00002.013,-berehat,-rest,O,O
BAN-00002,BAN-00002.014,di,in,O,O
BAN-00002,BAN-00002.015,atas,on,O,O
BAN-00002,BAN-00002.016,rumah,House,O,O
BAN-00002,BAN-00002.017,rakit,raft,O,O
BAN-00002,BAN-00002.018,khas,typical,O,O
BAN-00002,BAN-00002.019,musim,season,O,O
BAN-00002,BAN-00002.020,cuti,leave,O,O
BAN-00002,BAN-00002.021,rm20,rm20,O,O
BAN-00002,BAN-00002.022,seorang,a,O,O
BAN-00002,BAN-00002.023,(,(,O,O
BAN-00002,BAN-00002.024,termasukhomestay,including homestay,O,O
BAN-00002,BAN-00002.025,),),O,O
BAN-00002,BAN-00002.026,p/s,p/s,O,O
BAN-00002,BAN-00002.027,ikan,fish,O,O
BAN-00002,BAN-00002.028,dibekalkan,provided,O,O
BAN-00002,BAN-00002.029,minimum,minimum,O,O
BAN-00002,BAN-00002.030,8,8,O,O
BAN-00002,BAN-00002.031,orang,person,O,O
BAN-00003,BAN-00003.001,intensitas,intensity,B-ARG,REASON-ARG
BAN-00003,BAN-00003.002,dan,And,I-ARG,REASON-ARG
BAN-00003,BAN-00003.003,curah,bulk,I-ARG,REASON-ARG
BAN-00003,BAN-00003.004,hujan,Rain,I-ARG,REASON-ARG
BAN-00003,BAN-00003.005,yang,Which,I-ARG,REASON-ARG
BAN-00003,BAN-00003.006,tinggi,tall,I-ARG,REASON-ARG
BAN-00003,BAN-00003.007,telah,has,O,O
BAN-00003,BAN-00003.008,menyebabkan,cause,O,O
BAN-00003,BAN-00003.009,banjir,flood,B-EVE,FALSE-EVENT
BAN-00003,BAN-00003.010,di,in,O,O
BAN-00003,BAN-00003.011,berbagai,various,O,O
BAN-00003,BAN-00003.012,daerah,area,O,O
BAN-00003,BAN-00003.013,di,in,O,O
BAN-00003,BAN-00003.014,tanah,land,O,O
BAN-00003,BAN-00003.015,air,water,O,O
BAN-00003,BAN-00003.016,kala,time,O,O
BAN-00003,BAN-00003.017,banjir,flood,B-EVE,FALSE-EVENT
BAN-00003,BAN-00003.018,melanda,struck,O,O
BAN-00003,BAN-00003.019,tetap,still,O,O
BAN-00003,BAN-00003.020,tenang,calm,O,O
BAN-00003,BAN-00003.021,dan,And,O,O
BAN-00003,BAN-00003.022,tingkatkan,upgrade,O,O
BAN-00003,BAN-00003.023,kewaspadaan,vigilance,O,O
BAN-00003,BAN-00003.024,berikut,following,O,O
BAN-00003,BAN-00003.025,beberapa,a number of,O,O
BAN-00003,BAN-00003.026,poin,points,O,O
BAN-00003,BAN-00003.027,yang,Which,O,O
BAN-00003,BAN-00003.028,dapat,can,O,O
BAN-00003,BAN-00003.029,dilakukan,done,O,O
BAN-00003,BAN-00003.030,guna,use,O,O
BAN-00003,BAN-00003.031,mengurangi,reduce,O,O
BAN-00003,BAN-00003.032,risiko,risk,O,O
BAN-00003,BAN-00003.033,banjir,flood,B-EVE,FALSE-EVENT
BAN-00004,BAN-00004.001,ayuh,come on,O,O
BAN-00004,BAN-00004.002,kita,We,O,O
BAN-00004,BAN-00004.003,bersama,together,O,O
BAN-00004,BAN-00004.004,menjayakan,succeed,O,O
BAN-00004,BAN-00004.005,misi,mission,O,O
BAN-00004,BAN-00004.006,bantuan,help,O,O
BAN-00004,BAN-00004.007,mangsa,prey,O,O
BAN-00004,BAN-00004.008,banjir,flood,B-EVE,FALSE-EVENT
BAN-00004,BAN-00004.009,di,in,O,O
BAN-00004,BAN-00004.010,mersing,Mersing,B-LOC,PLACE-ARG
BAN-00004,BAN-00004.011,pada,on,O,O
BAN-00004,BAN-00004.012,3,3,O,O
BAN-00004,BAN-00004.013,jangan,Don't,O,O
BAN-00004,BAN-00004.014,(,(,O,O
BAN-00004,BAN-00004.015,9,9,O,O
BAN-00004,BAN-00004.016,pagi,Morning,O,O
BAN-00004,BAN-00004.017,-,-,O,O
BAN-00004,BAN-00004.018,1,1,O,O
BAN-00004,BAN-00004.019,petang,evening,O,O
BAN-00004,BAN-00004.020,),),O,O
BAN-00004,BAN-00004.021,di,in,O,O
BAN-00004,BAN-00004.022,ibu,Mother,O,O
BAN-00004,BAN-00004.023,pejabat,official,O,O
BAN-00004,BAN-00004.024,saj,just,O,O
BAN-00004,BAN-00004.025,ranhill,ranhill,O,O
BAN-00004,BAN-00004.026,larkin,Larkin,O,O
BAN-00005,BAN-00005.001,anak,child,O,O
BAN-00005,BAN-00005.002,buah,fruit,O,O
BAN-00005,BAN-00005.003,bantu,help,O,O
BAN-00005,BAN-00005.004,set,set,O,O
BAN-00005,BAN-00005.005,up,up,O,O
BAN-00005,BAN-00005.006,pusat,center,O,O
BAN-00005,BAN-00005.007,pemindahan,transfer,O,O
BAN-00005,BAN-00005.008,banjir,flood,B-EVE,FALSE-EVENT
BAN-00005,BAN-00005.009,di,in,O,O
BAN-00005,BAN-00005.010,balairaya,royal hall,O,O
BAN-00005,BAN-00005.011,tg,tg,O,O
BAN-00005,BAN-00005.012,bungor,bungor,O,O
BAN-00005,BAN-00005.013,syabas,Shabas,O,O
BAN-00005,BAN-00005.014,!,!,O,O
BAN-00005,BAN-00005.015,!,!,O,O
BAN-00005,BAN-00005.016,!,!,O,O
BAN-00006,BAN-00006.001,``,``,O,O
BAN-00006,BAN-00006.002,:,:,O,O
BAN-00006,BAN-00006.003,video,videos,O,O
BAN-00006,BAN-00006.004,kenangan,memory,O,O
BAN-00006,BAN-00006.005,gub,gub,B-ORG,OFFICER-ARG
BAN-00006,BAN-00006.006,dki,dki,B-PLOC,PLACE-ARG
BAN-00006,BAN-00006.007,jaman,era,O,O
BAN-00006,BAN-00006.008,old,old,O,O
BAN-00006,BAN-00006.009,menegaskan,confirm,O,O
BAN-00006,BAN-00006.010,masalah,problem,O,O
BAN-00006,BAN-00006.011,banjir,flood,B-EVE,FALSE-EVENT
BAN-00006,BAN-00006.012,bukan,No,O,O
BAN-00006,BAN-00006.013,masalah,problem,O,O
BAN-00006,BAN-00006.014,jakarta,Jakarta,B-PLOC,PLACE-ARG
BAN-00006,BAN-00006.015,itu,That,O,O
BAN-00006,BAN-00006.016,kewenangan,authority,O,O
BAN-00006,BAN-00006.017,pemerintah,government,B-ORG,OFFICER-ARG
BAN-00006,BAN-00006.018,pusat,center,I-ORG,OFFICER-ARG
BAN-00006,BAN-00006.019,dia,he,O,O
BAN-00006,BAN-00006.020,menegaskan,confirm,O,O
BAN-00006,BAN-00006.021,jika,If,O,O
BAN-00006,BAN-00006.022,terpilih,selected,O,O
BAN-00006,BAN-00006.023,sebagai,as,O,O
BAN-00006,BAN-00006.024,presiden,president,B-ORG,OFFICER-ARG
BAN-00006,BAN-00006.025,maka,so,O,O
BAN-00006,BAN-00006.026,segala,all,O,O
BAN-00006,BAN-00006.027,persoalan,problem,O,O
BAN-00006,BAN-00006.028,di,in,O,O
BAN-00006,BAN-00006.029,jakarta,Jakarta,B-LOC,PLACE-ARG
BAN-00006,BAN-00006.030,dapat,can,O,O
BAN-00006,BAN-00006.031,mudah,easy,O,O
BAN-00006,BAN-00006.032,teratasi,resolved,O,O
BAN-00006,BAN-00006.033,``,``,O,O
BAN-00007,BAN-00007.001,laporan,report,O,O
BAN-00007,BAN-00007.002,awalan,prefix,O,O
BAN-00007,BAN-00007.003,bencana,disaster,O,O
BAN-00007,BAN-00007.004,jenis,type,O,O
BAN-00007,BAN-00007.005,kejadian,incident,O,O
BAN-00007,BAN-00007.006,:,:,O,O
BAN-00007,BAN-00007.007,banjir,flood,B-EVE,FALSE-EVENT
BAN-00007,BAN-00007.008,&,&,O,O
BAN-00007,BAN-00007.009,air,water,O,O
BAN-00007,BAN-00007.010,melintas,crossed,O,O
BAN-00007,BAN-00007.011,di,in,O,O
BAN-00007,BAN-00007.012,atas,on,O,O
BAN-00007,BAN-00007.013,jalan,road,O,O
BAN-00007,BAN-00007.014,tarikh,date,O,O
BAN-00007,BAN-00007.015,kejadian,incident,O,O
BAN-00007,BAN-00007.016,:,:,O,O
BAN-00007,BAN-00007.017,4012018,4012018,O,O
BAN-00007,BAN-00007.018,daerah,area,O,O
BAN-00008,BAN-00008.001,anggota,member,O,O
BAN-00008,BAN-00008.002,rela,willing,O,O
BAN-00008,BAN-00008.003,pekan,week,O,O
BAN-00008,BAN-00008.004,sedang,currently,O,O
BAN-00008,BAN-00008.005,membantu,help,O,O
BAN-00008,BAN-00008.006,memberi,give,O,O
BAN-00008,BAN-00008.007,sajian,dish,O,O
BAN-00008,BAN-00008.008,makanan,food,O,O
BAN-00008,BAN-00008.009,kepada,to,O,O
BAN-00008,BAN-00008.010,mangsa2,prey2,O,O
BAN-00008,BAN-00008.011,banjir,flood,B-EVE,FALSE-EVENT
BAN-00008,BAN-00008.012,di,in,O,O
BAN-00008,BAN-00008.013,pusat,center,O,O
BAN-00008,BAN-00008.014,pemindahan,transfer,O,O
BAN-00008,BAN-00008.015,suka,Like,O,O
BAN-00008,BAN-00008.016,merchong,merchong,O,O
BAN-00008,BAN-00008.017,jaya,victorious,O,O
BAN-00009,BAN-00009.001,banjir,flood,B-EVE,FLOOD-EVENT
BAN-00009,BAN-00009.002,di,in,O,O
BAN-00009,BAN-00009.003,jalan,road,B-ARG,STREET-ARG
BAN-00009,BAN-00009.004,pagarsih,fencesih,I-ARG,STREET-ARG
BAN-00010,BAN-00010.001,keadaan,circumstances,O,O
BAN-00010,BAN-00010.002,banjir,flood,B-EVE,FALSE-EVENT
BAN-00010,BAN-00010.003,di,in,O,O
BAN-00010,BAN-00010.004,seberang,across,O,O
BAN-00010,BAN-00010.005,jaya,victorious,O,O
BAN-00010,BAN-00010.006,jam,O'clock,B-ARG,TIME-ARG
BAN-00010,BAN-00010.007,6:45pg,6:45pg,I-ARG,TIME-ARG
BAN-00010,BAN-00010.008,tadi,earlier,O,O
BAN-00011,BAN-00011.001,anifah,anifah,O,O
BAN-00011,BAN-00011.002,lawat,visit,O,O
BAN-00011,BAN-00011.003,mangsa,prey,O,O
BAN-00011,BAN-00011.004,banjir,flood,B-EVE,FALSE-EVENT
BAN-00011,BAN-00011.005,di,in,O,O
BAN-00011,BAN-00011.006,membakut,bolt,B-LOC,PLACE-ARG
BAN-00011,BAN-00011.007,-,-,O,O
BAN-00012,BAN-00012.001,sekarang,Now,O,O
BAN-00012,BAN-00012.002,nih,here,O,O
BAN-00012,BAN-00012.003,kan,right,O,O
BAN-00012,BAN-00012.004,musim,season,O,O
BAN-00012,BAN-00012.005,hujan,Rain,O,O
BAN-00012,BAN-00012.006,risau,worried,O,O
BAN-00012,BAN-00012.007,juga,Also,O,O
BAN-00012,BAN-00012.008,kalau,if,O,O
BAN-00012,BAN-00012.009,air,water,O,O
BAN-00012,BAN-00012.010,banjir,flood,B-EVE,FALSE-EVENT
BAN-00012,BAN-00012.011,naik,go on,O,O
BAN-00012,BAN-00012.012,lagi-lagi,"again, again",O,O
BAN-00012,BAN-00012.013,yang,Which,O,O
BAN-00012,BAN-00012.014,suka,Like,O,O
BAN-00012,BAN-00012.015,park,park,O,O
BAN-00012,BAN-00012.016,kereta,train,O,O
BAN-00012,BAN-00012.017,di,in,O,O
BAN-00012,BAN-00012.018,tempat,place,O,O
BAN-00012,BAN-00012.019,terbuka,open,O,O
BAN-00012,BAN-00012.020,meminta,request,O,O
BAN-00012,BAN-00012.021,jauh,Far,O,O
BAN-00012,BAN-00012.022,tapi,But,O,O
BAN-00012,BAN-00012.023,andaikata,suppose,O,O
BAN-00012,BAN-00012.024,ini,This,O,O
BAN-00012,BAN-00012.025,terjadi,happen,O,O
BAN-00012,BAN-00012.026,kepada,to,O,O
BAN-00012,BAN-00012.027,kereta,train,O,O
BAN-00012,BAN-00012.028,anda,You,O,O
BAN-00012,BAN-00012.029,boleh,OK,O,O
BAN-00012,BAN-00012.030,amalkan,practice it,O,O
BAN-00012,BAN-00012.031,tips,tips,O,O
BAN-00012,BAN-00012.032,ini,This,O,O
BAN-00012,BAN-00012.033,kalau,if,O,O
BAN-00012,BAN-00012.034,tak,not,O,O
BAN-00012,BAN-00012.035,amalkan,practice it,O,O
BAN-00012,BAN-00012.036,rm,rm,O,O
BAN-00012,BAN-00012.037,3,3,O,O
BAN-00012,BAN-00012.038,0,0,O,O
BAN-00012,BAN-00012.039,melayang,float,O,O
BAN-00012,BAN-00012.040,!,!,O,O
BAN-00013,BAN-00013.001,anggota,member,O,O
BAN-00013,BAN-00013.002,rela,willing,O,O
BAN-00013,BAN-00013.003,wanita,woman,O,O
BAN-00013,BAN-00013.004,daerah,area,O,O
BAN-00013,BAN-00013.005,pekan,week,O,O
BAN-00013,BAN-00013.006,membantu,help,O,O
BAN-00013,BAN-00013.007,mengangkat,lift,O,O
BAN-00013,BAN-00013.008,barang-barang,goods,O,O
BAN-00013,BAN-00013.009,keperluan,needs,O,O
BAN-00013,BAN-00013.010,untuk,For,O,O
BAN-00013,BAN-00013.011,mangsa2,prey2,O,O
BAN-00013,BAN-00013.012,banjir,flood,B-EVE,FALSE-EVENT
BAN-00013,BAN-00013.013,di,in,O,O
BAN-00013,BAN-00013.014,pusat,center,O,O
BAN-00013,BAN-00013.015,pemindahan,transfer,O,O
BAN-00013,BAN-00013.016,suka,Like,O,O
BAN-00013,BAN-00013.017,merchong,merchong,O,O
BAN-00013,BAN-00013.018,jaya,victorious,O,O
BAN-00013,BAN-00013.019,merchong,merchong,O,O
BAN-00014,BAN-00014.001,kondisi,condition,O,O
BAN-00014,BAN-00014.002,terkini,latest,O,O
BAN-00014,BAN-00014.003,banjir,flood,B-EVE,FLOOD-EVENT
BAN-00014,BAN-00014.004,luapan,overflow,O,O
BAN-00014,BAN-00014.005,kali,time,B-LOC,PLACE-ARG
BAN-00014,BAN-00014.006,wulung,wulung,I-LOC,PLACE-ARG
BAN-00014,BAN-00014.007,di,in,O,O
BAN-00014,BAN-00014.008,terisolir,isolated,O,O
BAN-00014,BAN-00014.009,sabar,Be patient,O,O
BAN-00014,BAN-00014.010,nggih,high,O,O
BAN-00014,BAN-00014.011,cc,cc,O,O
BAN-00014,BAN-00014.012,:,:,O,O
BAN-00015,BAN-00015.001,terdapat,there is,O,O
BAN-00015,BAN-00015.002,perubahan,change,O,O
BAN-00015,BAN-00015.003,untuk,For,O,O
BAN-00015,BAN-00015.004,situasi,situation,O,O
BAN-00015,BAN-00015.005,banjir,flood,B-EVE,FALSE-EVENT
BAN-00015,BAN-00015.006,tahun,year,O,O
BAN-00015,BAN-00015.007,ini,This,O,O
BAN-00015,BAN-00015.008,terdapat,there is,O,O
BAN-00015,BAN-00015.009,5,5,O,O
BAN-00015,BAN-00015.010,lokasi,location,O,O
BAN-00015,BAN-00015.011,kawasan,area,O,O
BAN-00015,BAN-00015.012,berpagar,fenced,O,O
BAN-00015,BAN-00015.013,di,in,O,O
BAN-00015,BAN-00015.014,bahu,shoulder,O,O
